Well D,District,Taluka,Location,Type,pH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR,Arsenic,Unnamed: 23
W214330071280001,Amreli,LATHI,Tajpur,Dug Well,7.94,335.0,224.0,0.0,146.0,28.0,7.0,25.0,0.73,120.0,28.0,19.0,150.0,20.0,4.4,0.71,4.0,
W213130071213001,Amreli,LILIA,Punjapadar,Dug Well,8.03,560.0,375.0,0.0,293.0,35.0,9.0,9.0,0.36,240.0,24.0,7.0,90.0,100.0,8.4,4.58,2.0,
W210045071323001,Amreli,RAJULA,Victor,Dug Well,8.25,1530.0,1025.0,0.0,537.0,234.0,10.0,2.0,2.5,440.0,12.0,29.0,150.0,295.0,18.1,10.47,4.0,
W205829071244601,Amreli,Jafrabad,Hinderana(,Dug Well,8.28,1193.0,799.0,0.0,268.0,220.0,14.0,35.0,0.73,220.0,20.0,14.0,110.0,218.0,3.9,9.04,3.0,
W212610071322501,Amreli,Savar Kundla,Fifad,Dug Well,8.17,2749.0,1842.0,0.0,402.0,532.0,185.0,112.0,0.45,330.0,100.0,156.0,900.0,210.0,13.0,3.04,3.0,
W212244071365301,Amreli,Savar Kundla,Hipavadli,Dug Well,8.46,2071.0,1388.0,22.0,647.0,57.0,80.0,320.0,1.1,567.0,20.0,26.0,160.0,409.0,0.8,14.06,3.0,
W205430071213701,Amreli,Jafrabad,Kadiyali,Dug Well,8.42,817.0,547.0,72.0,110.0,85.0,11.0,131.0,0.8,210.0,32.0,31.0,190.0,133.0,6.7,4.2,5.0,
W212323071302701,Amreli,Savar Kundla,Vanda,Dug Well,8.53,2757.0,1847.0,120.0,1098.0,461.0,20.0,59.0,1.0,1100.0,60.0,97.0,550.0,593.0,1.4,10.99,5.0,
W223430072582001,Anand,ANAND,Anand,Dug Well,7.76,1621.0,1086.0,0.0,549.0,177.0,44.0,28.0,0.22,450.0,84.0,74.0,520.0,114.0,2.8,2.17,3.0,
W224249073073601,Anand,UMRETH,Parvata,Dug Well,8.05,1333.0,893.0,0.0,525.0,113.0,30.0,27.0,0.66,430.0,52.0,46.0,320.0,150.0,1.0,3.65,2.0,
W222300073003001,Anand,ANKLAV,Anklav2,Dug Well,7.97,1191.0,798.0,0.0,500.0,99.0,44.0,11.0,0.1,410.0,32.0,62.0,340.0,119.0,1.8,2.81,1.0,
W222120072535001,Anand,BORSAD,Bhadran,Dug Well,7.5,977.0,655.0,0.0,354.0,92.0,2.0,31.0,0.0,290.0,72.0,55.0,410.0,21.0,3.0,0.45,9.0,
W221845072574501,Anand,BORSAD,Navapura,Dug Well,8.04,1510.0,1012.0,0.0,732.0,121.0,29.0,9.0,0.3,600.0,72.0,72.0,480.0,150.0,5.9,2.98,5.0,
W222045072500001,Anand,BORSAD,Ras,Dug Well,8.21,2085.0,1397.0,0.0,842.0,227.0,26.0,2.0,1.0,690.0,48.0,10.0,160.0,400.0,7.3,13.75,12.0,
W221630072460001,Anand,CAMBAY,Dali,DCB,8.12,4227.0,2832.0,0.0,1061.0,674.0,24.0,207.0,0.9,870.0,96.0,79.0,570.0,690.0,16.3,12.57,10.0,
W222030072390001,Anand,CAMBAY,Kansari1,Dug Well,7.8,4295.0,2878.0,0.0,805.0,922.0,46.0,85.0,0.57,660.0,260.0,36.0,800.0,600.0,8.8,9.22,8.0,
W222500072363001,Anand,CAMBAY,Laxmipura,Dug Well,8.17,4319.0,2894.0,0.0,866.0,815.0,9.0,222.0,0.9,710.0,120.0,60.0,550.0,720.0,3.2,13.35,3.0,
W223230072490001,Anand,PETLAD,Bandhani,Dug Well,7.88,754.0,505.0,0.0,256.0,92.0,16.0,12.0,0.5,210.0,68.0,12.0,220.0,68.0,11.6,1.99,4.0,
W224130073031501,Anand,UMRETH,Ghora,Dug Well,7.75,1948.0,1305.0,0.0,549.0,248.0,80.0,25.0,0.02,450.0,172.0,31.0,560.0,154.0,2.1,2.83,8.0,
W222843073014901,Anand,ANAND,Adas_DW,Dug Well,7.54,1270.0,851.0,0.0,525.0,92.0,90.0,13.0,0.3,430.0,44.0,91.0,490.0,73.0,1.0,1.43,1.0,
W223756073001501,Anand,Anand,Boriyavi,Dug Well,8.0,1377.0,923.0,0.0,561.0,156.0,8.0,5.0,0.0,460.0,88.0,43.0,400.0,120.0,28.0,2.61,9.0,
