"SN","District","Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K","Fe","SAR"
"108","Bhavnagar","Bhumbhali","7.80","7366","4935","0","415","1882","8","599","0.55","340","360","158","1550","971","27.7","","10.72"
"109","Bhavnagar","Tardhera","7.10","2083","1396","0","854","213","80","26","1.10","700","100","119","740","165","17.5","0.65","2.64"
"110","Bhavnagar","Dhasa","7.80","1950","1307","0","525","305","3.5","98","0.26","430","108","68","550","194","6.2","","3.60"
"111","Bhavnagar","Gadhada2","7.90","1125","754","0","378","114","34","61","0.15","310","100","27","360","94","0.4","","2.15"
"112","Bhavnagar","Ningala","7.80","998","669","0","390","114","15","13","0.50","320","36","17","160","161","1.5","0.17","5.53"
"113","Bhavnagar","Gariyadhar","7.70","2660","1782","0","317","525","190","186","0.42","260","200","117","980","174","0.2","0.08","2.42"
"114","Bhavnagar","Ghogha","7.70","6760","4529","0","537","1669","380","119","0.60","440","100","109","700","1176","98.1","","19.33"
"115","Bhavnagar","Dudhala","7.60","2227","1492","0","281","440","130","106","0.60","230","144","83","700","173","32.6","","2.84"
"116","Bhavnagar","Longadi","8.10","814","545","0","342","57","2","71","0.53","280","44","22","200","110","26.0","0.00","3.38"
"117","Bhavnagar","Mahuva1","7.90","3444","2307","0","1025","483","70","160","1.15","840","40","14","180","725","1.8","","23.49"
"118","Bhavnagar","Motivadal","8.00","1158","776","0","549","128","12","15","0.35","450","72","58","420","110","10.2","","2.33"
"119","Bhavnagar","Shantinagar","7.90","2030","1360","0","512","369","12","135","0.30","420","168","88","780","146","5.9","","2.27"
"120","Bhavnagar","Khijadiya","7.80","1425","955","0","720","121","55","28","0.80","590","28","15","130","326","12.8","","12.43"
"121","Bhavnagar","Panchpipla","8.00","1150","771","0","415","135","20","17","0.80","340","48","27","230","156","0.0","","4.47"
"122","Bhavnagar","Sajnasar","8.00","1446","969","0","305","263","58","45","0.42","250","100","54","470","115","1.1","0.08","2.31"
"123","Bhavnagar","Satanes","7.80","1451","972","0","659","121","22","13","0.40","540","128","41","480","122","7.8","","2.42"
"124","Bhavnagar","Sandhida","8.00","745","499","0","305","92","2","10","0.35","250","64","32","290","48","2.1","","1.23"
"125","Bhavnagar","Datha","8.00","2665","1786","0","573","554","2","82","0.70","470","40","29","220","520","2.6","","15.24"
