District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
Panchmahals,GODHRA,Godhra UR_1,7.44,1373.0,920.0,400.0,120.0,24.0,129.0,1.2,0.0,439.0,149.0,45.0,66.0,0.9,360.0,0.073
Panchmahals,GODHRA,Godhra UR_2,7.57,1051.0,704.0,390.0,112.0,26.0,53.0,1.6,0.0,390.0,50.0,41.0,75.0,1.3,320.0,0.144
Panchmahals,GODHRA,Godhra UR_3,7.84,279.0,187.0,160.0,40.0,14.0,11.0,1.7,0.0,146.0,21.0,2.0,30.0,0.4,120.0,0.116
Panchmahals,JAMBUGODHA,Javan,7.1,554.0,371.0,250.0,68.0,19.0,33.0,18.1,0.0,256.0,43.0,50.0,8.0,0.55,210.0,1.032
Panchmahals,LUNAWADA,Jokha,7.59,1253.0,840.0,430.0,116.0,34.0,102.0,10.0,0.0,622.0,78.0,15.0,15.0,1.2,510.0,0.004
Panchmahals,KALOL,Kalol UR_1,7.72,1504.0,1008.0,530.0,84.0,77.0,117.0,4.6,0.0,671.0,142.0,22.0,12.0,0.55,550.0,0.382
Panchmahals,LUNAWADA,Kantha,7.57,1063.0,712.0,330.0,96.0,34.0,113.0,1.5,0.0,488.0,99.0,12.0,21.0,0.9,400.0,0.0
Panchmahals,GODHRA,Khadeki,7.85,1842.0,1234.0,460.0,44.0,84.0,180.0,1.6,0.0,744.0,78.0,4.0,118.0,1.5,610.0,0.601
Panchmahals,KHANPUR,Khanpur,7.3,962.0,645.0,360.0,100.0,26.0,71.0,1.1,0.0,415.0,92.0,45.0,5.0,0.5,340.0,0.0
Panchmahals,LUNAWADA,Kothamba,7.94,2050.0,1374.0,650.0,140.0,72.0,185.0,3.1,0.0,586.0,347.0,62.0,23.0,0.86,480.0,0.3
Panchmahals,LUNAWADA,Limbadia peti,7.31,1050.0,704.0,380.0,68.0,50.0,73.0,1.6,0.0,537.0,57.0,8.0,8.0,1.05,440.0,0.0
Panchmahals,LUNAWADA,Lunawada,7.05,1254.0,840.0,430.0,132.0,24.0,87.0,16.2,0.0,427.0,149.0,54.0,11.0,0.55,350.0,0.0
Panchmahals,LUNAWADA,Malekpur1,7.4,800.0,536.0,320.0,68.0,36.0,60.0,3.2,0.0,439.0,50.0,13.0,6.0,0.75,360.0,0.0
Panchmahals,MORWA (HADAF),Natapur,7.65,800.0,536.0,300.0,20.0,60.0,61.0,2.3,0.0,378.0,50.0,34.0,19.0,1.66,310.0,0.058
Panchmahals,HALOL,Pavagadh,7.57,1004.0,673.0,490.0,132.0,38.0,38.0,1.9,0.0,488.0,99.0,21.0,13.0,0.37,400.0,0.168
Panchmahals,GHOGHAMBA,Ranipura,7.76,2134.0,1430.0,730.0,96.0,118.0,144.0,4.2,0.0,537.0,340.0,88.0,39.0,2.04,440.0,0.0
Panchmahals,SANTRAMPUR,Santrampur1,7.49,1142.0,765.0,380.0,108.0,26.0,90.0,1.0,0.0,500.0,92.0,10.0,23.0,0.75,410.0,0.124
Panchmahals,MORWA (HADAF),Santroad_1,7.85,814.0,545.0,280.0,60.0,31.0,70.0,2.6,0.0,378.0,64.0,32.0,3.0,0.9,310.0,0.559
